recall	precision
1.0	0.001735711375994049
1.0	0.0017357421183138504
1.0	0.001735772861722666
1.0	0.0017358036062205533
1.0	0.0017358343518075704
1.0	0.001735865098483775
1.0	0.001735895846249225
1.0	0.0017359265951039785
1.0	0.0017359573450480932
1.0	0.001735988096081627
1.0	0.0017360188482046376
1.0	0.0017360496014171833
1.0	0.001736080355719322
1.0	0.001736111111111111
1.0	0.001736141867592609
1.0	0.0017361726251638734
1.0	0.0017362033838249624
1.0	0.0017362341435759336
1.0	0.0017362649044168454
1.0	0.0017362956663477553
1.0	0.0017363264293687214
1.0	0.0017363571934798016
1.0	0.0017363879586810539
1.0	0.0017364187249725362
1.0	0.0017364494923543066
1.0	0.0017364802608264228
1.0	0.001736511030388943
1.0	0.0017365418010419251
1.0	0.001736572572785427
1.0	0.0017366033456195067
1.0	0.001736634119544222
1.0	0.0017366648945596314
1.0	0.0017366956706657923
1.0	0.0017367264478627632
1.0	0.0017367572261506017
1.0	0.001736788005529366
1.0	0.0017368187859991139
1.0	0.0017368495675599035
1.0	0.001736880350211793
1.0	0.0017369111339548403
1.0	0.0017369419187891033
1.0	0.0017369727047146402
1.0	0.0017370034917315088
1.0	0.0017370342798397674
1.0	0.0017370650690394739
1.0	0.0017370958593306864
1.0	0.0017371266507134628
1.0	0.0017371574431878612
1.0	0.0017371882367539398
1.0	0.0017372190314117564
1.0	0.0017372498271613693
1.0	0.0017372806240028363
1.0	0.0017373114219362158
1.0	0.0017373422209615657
1.0	0.001737373021078944
1.0	0.001737403822288409
1.0	0.0017374346245900185
1.0	0.001737465427983831
1.0	0.001737496232469904
1.0	0.001737527038048296
1.0	0.0017375578447190653
1.0	0.0017375886524822696
1.0	0.0017376194613379669
1.0	0.0017376502712862158
1.0	0.0017376810823270742
1.0	0.0017377118944606
1.0	0.0017377427076868516
1.0	0.001737773522005887
1.0	0.0017378043374177646
1.0	0.001737835153922542
1.0	0.001737865971520278
1.0	0.0017378967902110303
1.0	0.0017379276099948571
1.0	0.0017379584308718167
1.0	0.001737989252841967
1.0	0.0017380200759053667
1.0	0.0017380509000620731
1.0	0.0017380817253121452
1.0	0.0017381125516556409
1.0	0.0017381433790926181
1.0	0.0017381742076231354
1.0	0.001738205037247251
1.0	0.0017382358679650224
1.0	0.0017382666997765085
1.0	0.0017382975326817674
1.0	0.001738328366680857
1.0	0.001738359201773836
1.0	0.001738390037960762
1.0	0.0017384208752416936
1.0	0.0017384517136166892
1.0	0.0017384825530858065
1.0	0.001738513393649104
1.0	0.0017385442353066401
1.0	0.001738575078058473
1.0	0.0017386059219046605
1.0	0.0017386367668452613
1.0	0.0017386676128803335
1.0	0.0017386984600099354
1.0	0.0017387293082341251
1.0	0.0017387601575529611
1.0	0.0017387910079665018
1.0	0.001738821859474805
1.0	0.0017388527120779289
1.0	0.0017388835657759325
1.0	0.0017389144205688734
1.0	0.0017389452764568103
1.0	0.0017389761334398012
1.0	0.0017390069915179046
1.0	0.0017390378506911789
1.0	0.001739068710959682
1.0	0.0017390995723234725
1.0	0.0017391304347826088
1.0	0.0017391612983371487
1.0	0.0017391921629871512
1.0	0.0017392230287326743
1.0	0.0017392538955737762
